Na2O,MgO,Al2O3,SiO2,K2O,CaO,TiO2,Y2O3,Density293K
0,0,0,56.75964458,24.42076257,18.81959285,0,0,2.606
32.7403363,0,0,67.2596637,0,0,0,0,2.485
32.59064301,0,1.260002118,66.14935487,0,0,0,0,2.493
32.700327,0,0,67.299673,0,0,0,0,2.489
0,0.049481815,21.59056547,10.13002721,0,68.2299255,0,0,2.942
0,0,0,38.4208079,32.6803366,0,28.89885551,0,2.675
0,0,29.99941201,4.001293585,0,65.99929441,0,0,2.95
0,2.998765214,29.99941201,4.001293585,0,63.00052919,0,0,2.93
0,5.00088199,29.99941201,4.001293585,0,60.99841242,0,0,2.923
0,6.000470395,29.99941201,4.001293585,0,59.99882401,0,0,2.9
0,7.999647204,29.99941201,4.001293585,0,57.9996472,0,0,2.935
0,8.999235609,29.99941201,4.001293585,0,57.0000588,0,0,2.86
0,9.998824014,29.99941201,4.001293585,0,56.00047039,0,0,2.929
0,12.00094079,29.99941201,4.001293585,0,53.99835362,0,0,2.87
4.999326009,0,43.9997978,0,0,51.00087619,0,0,2.855
16.13038796,0,0,46.53936067,0,37.33025137,0,0,2.794
32.62933685,0,0,67.37066315,0,0,0,0,2.495
0,0,0,64.00060002,32.60031501,0,3.399084977,0,2.498
0,0,0,67.400663,32.599337,0,0,0,2.469
19.90991358,0,0,51.43066466,0,28.65942176,0,0,2.73
30.5298053,0,0,67.44067441,2.029520295,0,0,0,2.488
32.18057791,0,3.289645129,64.52977696,0,0,0,0,2.494
0,0,30.26273111,4.081030873,0,65.65623802,0,0,2.912
16.03041985,0,0,67.46966265,16.4999175,0,0,0,2.479
22.60213144,0,0,54.92617673,0,22.47169183,0,0,2.683
27.76966349,0,0,61.45970413,0,10.77063238,0,0,2.575
31.83998256,0,5.71958018,62.44043726,0,0,0,0,2.494
0,0,0,61.199694,32.5003375,0,6.2999685,0,2.512
0,0,0,67.4996625,32.5003375,0,0,0,2.471
32.5003375,0,0,32.49883751,0,0,35.000825,0,2.92
32.5003375,0,0,37.4998125,0,0,29.99985,0,2.871
32.5003375,0,0,47.49876251,0,0,20.0009,0,2.752
32.5003375,0,0,57.5007125,0,0,9.998950005,0,2.625
32.5003375,0,0,67.4996625,0,0,0,0,2.489
28.399358,0,0,67.5206624,4.0799796,0,0,0,2.491
0,0,5.80033029,62.39990029,31.79976942,0,0,0,2.4825
6.400149565,0,5.80033029,62.39990029,25.39961985,0,0,0,2.487
