Li,B,O,Na,Mg,Al,Si,P,K,Ca,Ti,Zn,Y,Zr,Sn,Density293K
0,0.210526294,0.586842115,0.031578951,0,0,0.113157901,0,0.05789474,0,0,0,0,0,0,2.309999943
0,0.210526296,0.586842122,0.02105263,0,0,0.113157903,0,0.06842105,0,0,0,0,0,0,2.309999943
0,0.210526294,0.586842117,0.01052632,0,0,0.113157902,0,0.078947368,0,0,0,0,0,0,2.299999952
0,0.210526295,0.586842117,0,0,0,0.113157902,0,0.089473686,0,0,0,0,0,0,2.299999952
0,0.210526285,0.565789463,0.131578992,0,0,0.09210526,0,0,0,0,0,0,0,0,2.450000048
0,0.210526286,0.565789465,0.1052632,0,0,0.092105261,0,0.026315788,0,0,0,0,0,0,2.450000048
0,0.210526296,0.565789492,0.078947368,0,0,0.092105265,0,0.052631579,0,0,0,0,0,0,2.450000048
0,0.210526296,0.565789492,0.052631579,0,0,0.092105265,0,0.078947368,0,0,0,0,0,0,2.440000057
0,0.210526296,0.565789494,0.039473679,0,0,0.092105265,0,0.092105265,0,0,0,0,0,0,2.440000057
0,0.210526286,0.565789465,0.026315788,0,0,0.092105261,0,0.1052632,0,0,0,0,0,0,2.430000067
0,0.210526307,0.565789523,0.013157891,0,0,0.09210527,0,0.118421008,0,0,0,0,0,0,2.420000076
0,0.210526307,0.565789523,0.013157891,0,0,0.09210527,0,0.118421008,0,0,0,0,0,0,2.420000076
0,0.210526285,0.565789463,0,0,0,0.09210526,0,0.131578992,0,0,0,0,0,0,2.420000076
0,0.210526282,0.543947377,0.175263184,0,0,0.070263157,0,0,0,0,0,0,0,0,2.480000019
0,0.210526279,0.543947369,0.131578989,0,0,0.070263156,0,0.043684207,0,0,0,0,0,0,2.470000029
0,0.210526293,0.543947405,0.110526303,0,0,0.070263161,0,0.064736838,0,0,0,0,0,0,2.470000029
0,0.21052629,0.543947398,0.087368419,0,0,0.07026316,0,0.087894733,0,0,0,0,0,0,2.460000038
0,0.210526286,0.543947387,0.052631576,0,0,0.070263159,0,0.122631592,0,0,0,0,0,0,2.450000048
0,0.210526295,0.543947412,0.02105263,0,0,0.070263162,0,0.154210501,0,0,0,0,0,0,2.450000048
0,0.210526282,0.543947377,0,0,0,0.070263157,0,0.175263184,0,0,0,0,0,0,2.450000048
0,0.117647107,0.63235292,0.02941176,0,0,0.220588213,0,0,0,0,0,0,0,0,2.170000076
0,0.117647094,0.62647055,0.041176468,0,0,0.214705887,0,0,0,0,0,0,0,0,2.220000029
0,0.117647108,0.620588206,0.052941171,0,0,0.208823515,0,0,0,0,0,0,0,0,2.269999981
0,0.117647095,0.614705837,0.064705877,0,0,0.202941191,0,0,0,0,0,0,0,0,2.319999933
0,0.117647095,0.614705838,0.049999996,0,0,0.202941192,0,0.014705879,0,0,0,0,0,0,2.309999943
0,0.117647095,0.614705838,0.035294118,0,0,0.202941192,0,0.029411757,0,0,0,0,0,0,2.309999943
0,0.117647095,0.614705837,0.023529408,0,0,0.202941191,0,0.041176468,0,0,0,0,0,0,2.309999943
0,0.117647095,0.614705838,0.011764709,0,0,0.202941192,0,0.052941166,0,0,0,0,0,0,2.309999943
0,0.117647095,0.614705837,0,0,0,0.202941191,0,0.064705877,0,0,0,0,0,0,2.299999952
0,0.117647105,0.608823512,0.07647059,0,0,0.197058793,0,0,0,0,0,0,0,0,2.380000114
0,0.117647105,0.608823512,0.04705883,0,0,0.197058793,0,0.02941176,0,0,0,0,0,0,2.380000114
0,0.117647105,0.608823511,0.03529412,0,0,0.197058793,0,0.041176472,0,0,0,0,0,0,2.369999886
0,0.117647106,0.608823518,0.023529411,0,0,0.197058795,0,0.05294117,0,0,0,0,0,0,2.359999895
0,0.117647105,0.608823511,0.01176471,0,0,0.197058793,0,0.064705882,0,0,0,0,0,0,2.359999895
0,0.117647105,0.608823512,0,0,0,0.197058793,0,0.07647059,0,0,0,0,0,0,2.349999905
0,0.117647093,0.60294115,0.088235284,0,0,0.191176473,0,0,0,0,0,0,0,0,2.390000105
0,0.117647094,0.602941153,0.058823523,0,0,0.191176473,0,0.029411757,0,0,0,0,0,0,2.390000105
0,0.117647092,0.602941145,0.044117646,0,0,0.191176471,0,0.044117646,0,0,0,0,0,0,2.390000105
0,0.117647094,0.602941153,0.029411757,0,0,0.191176473,0,0.058823523,0,0,0,0,0,0,2.390000105
0,0.117647093,0.602941152,0.014705878,0,0,0.191176473,0,0.073529404,0,0,0,0,0,0,2.380000114
0,0.117647093,0.60294115,0,0,0,0.191176473,0,0.088235284,0,0,0,0,0,0,2.380000114
0,0.117647105,0.597058798,0.100000001,0,0,0.185294096,0,0,0,0,0,0,0,0,2.420000076
0,0.117647105,0.597058798,0.070588241,0,0,0.185294096,0,0.02941176,0,0,0,0,0,0,2.420000076
